ISim log file
Running: C:\Users\17201\Desktop\CO\P7\module\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/17201/Desktop/CO/P7/module/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                1198@000041f4: $ 1 <= 00000000
                1202@000041f8: $ 2 <= 00000000
                1206@000041fc: $31 <= 00000000
                1210@00004200: $26 <= 00000000
                1214@00004204: $27 <= 00000000
                1226@00004210: $29 <= 00000000
                1230@00004214: $19 <= 000041b8
                1250@0000301c: *00000004 <= 00000000
                1250@00003018: $ 1 <= 00000000
                1258@00003020: $ 1 <= 00000000
                1266@00003024: $ 1 <= 00000001
# run 1.00us
